Code departement,Valeur_fonciere_moyenne,nb_biens_par_dept,nb_biens_maison,nb_biens_appartement,nb_biens_dependance,nb_biens_commerciaux
01,148887.0,7395,2139,1457,3410,389
02,84157.0,5967,2430,592,2637,308
03,66387.0,6205,1995,962,2947,301
04,117490.0,2107,597,585,845,80
05,118976.0,3328,513,1178,1388,249
06,154416.0,31982,2493,10699,17408,1382
07,106323.0,3805,1402,801,1380,222
08,105066.0,3437,1110,540,1602,185
09,77143.0,1444,620,243,486,95
10,88840.0,3485,979,681,1637,188
11,100395.0,6030,2247,1242,2277,264
12,94432.0,3968,1281,811,1602,274
13,221690.0,26414,4100,8842,12021,1451
14,99792.0,14686,3550,2132,8428,576
15,75275.0,2021,765,359,780,117
16,94029.0,5167,2540,383,1962,282
17,130074.0,8457,3525,1048,3471,413
18,483924.0,4667,1933,503,1962,269
19,104263.0,2666,1027,418,1074,147
21,789480.0,6994,1563,1765,3318,348
22,109885.0,8688,3894,983,3359,452
23,50090.0,2203,1027,166,900,110
24,97552.0,5294,2409,501,2110,274
25,84670.0,6773,1234,1756,3302,481
26,156799.0,7466,2151,1660,3035,620
27,122461.0,8705,4130,876,3373,326
28,426127.0,5058,1914,610,2278,256
29,132141.0,9177,3658,1620,3377,522
2A,218331.0,2221,447,723,873,178
2B,140683.0,2044,353,760,824,107
30,121697.0,11452,3006,2511,5183,752
31,147555.0,17244,3760,4411,8185,888
32,119442.0,2362,1119,289,826,128
33,278974.0,22192,6618,4949,9574,1051
34,112096.0,18038,3722,5229,8164,923
35,147787.0,11912,3600,2488,5053,771
36,92848.0,3076,1266,226,1438,146
37,169118.0,8317,2704,1406,3840,367
38,140727.0,14034,3046,3735,6384,869
39,67340.0,3392,969,690,1517,216
40,155216.0,6464,2455,1033,2717,259
41,106478.0,4094,1662,329,1856,247
42,100818.0,9916,2025,2438,4877,576
43,52291.0,2672,974,468,1053,177
44,133505.0,16771,5157,3380,7384,850
45,115344.0,7661,2465,1193,3547,456
46,92280.0,3192,1412,310,1262,208
47,121195.0,4800,2201,562,1778,259
48,83268.0,849,327,172,291,59
49,130714.0,7644,2777,1199,3276,392
50,95848.0,6932,3451,615,2481,385
51,114917.0,6067,1554,1392,2839,282
52,45276.0,1810,773,225,708,104
53,100627.0,3501,1541,443,1320,197
54,106444.0,8864,1946,2100,4308,510
55,50752.0,1865,797,269,718,81
56,138061.0,11107,4579,1720,4156,652
58,75758.0,3627,1398,449,1538,242
59,192552.0,27513,10140,4910,10755,1708
60,131179.0,8571,3532,1164,3498,377
61,97329.0,4135,1912,317,1641,265
62,162345.0,12170,5399,1485,4628,658
63,75078.0,8867,2642,1905,3892,428
64,138192.0,10336,2109,2724,4964,539
65,96426.0,4160,1118,1065,1749,228
66,103747.0,9605,2564,2647,3901,493
69,168182.0,23735,2773,7048,12015,1899
70,50833.0,2871,1078,424,1214,155
71,79395.0,7878,2646,1362,3436,434
72,83368.0,6762,2710,716,2963,373
73,170626.0,9018,1213,2827,4450,528
74,193916.0,13800,1653,4162,7476,509
75,378955.0,30237,63,13292,14885,1997
76,143279.0,16188,5221,3672,6550,745
77,200415.0,14693,4348,2871,6563,911
78,217498.0,15091,3161,3670,7540,720
79,87925.0,4823,2365,370,1872,216
80,102783.0,6901,2744,849,2889,419
81,92844.0,3256,1508,403,1180,165
82,146740.0,3217,1412,458,1200,147
83,181228.0,25618,5366,6716,12621,915
84,257744.0,7597,2208,1838,3137,414
85,131800.0,10477,4817,1038,4021,601
86,100029.0,4698,1961,632,1838,267
87,86179.0,5109,1798,914,2121,276
88,121165.0,5255,1522,1083,2321,329
89,1926560.0,3855,1470,444,1674,267
90,178998.0,1666,283,484,809,90
91,171670.0,10303,2484,2442,4951,426
92,239618.0,18843,883,6607,10534,819
93,388067.0,15283,1634,6101,6975,573
94,140182.0,14149,1258,4837,7573,481
95,197417.0,9373,2250,2303,4377,443
971,225864.0,854,309,253,161,131
972,165620.0,1192,335,419,364,74
973,356086.0,1394,728,394,202,70
974,173032.0,4222,1433,1146,1457,186
